,0
1449,7
1450,8
1451,8
1452,8
1453,8
1454,10
1455,10
1456,8
1457,8
1458,8
1459,10
1460,9
1461,10
1462,8
1463,8
1464,10
1465,14
1466,15
1467,17
1468,18
1469,16
1470,17
1471,18
1472,16
1473,17
1474,15
1475,15
1476,19
1477,20
1478,18
1479,25
1480,27
1481,26
1482,23
1483,24
1484,24
1485,23
1486,26
1487,23
1488,24
1489,26
1490,24
1491,21
1492,21
1493,21
1494,22
1495,23
1496,19
1497,18
1498,18
1499,19
1500,18
1501,17
1502,25
1503,23
1504,17
1505,19
1506,22
1507,23
1508,28
1509,26
1510,25
1511,26
1512,28
1513,27
1514,26
1515,27
1516,27
1517,24
1518,23
1519,26
1520,26
1521,23
1522,22
1523,26
1524,23
1525,21
1526,24
1527,21
1528,21
1529,27
1530,25
1531,26
1532,27
1533,26
1534,26
1535,23
1536,23
1537,26
1538,27
1539,27
1540,28
1541,28
1542,23
1543,21
1544,24
1545,24
1546,26
1547,26
1548,26
1549,28
1550,27
1551,26
1552,25
1553,20
1554,16
1555,20
1556,24
1557,25
1558,25
1559,27
1560,28
1561,27
1562,26
1563,25
1564,26
1565,24
1566,26
1567,25
1568,25
1569,25
1570,22
1571,21
1572,27
1573,27
1574,26
1575,25
1576,24
1577,25
1578,26
1579,26
1580,27
1581,24
1582,25
1583,25
1584,27
1585,27
1586,26
1587,23
1588,22
1589,24
1590,21
1591,18
1592,23
1593,23
1594,25
1595,24
1596,21
1597,18
1598,17
1599,24
1600,29
1601,25
1602,20
1603,16
1604,18
1605,19
1606,20
1607,26
1608,27
1609,24
1610,24
1611,24
1612,20
1613,17
1614,16
1615,18
1616,22
1617,23
1618,25
1619,25
1620,27
1621,27
1622,24
1623,25
1624,25
1625,27
1626,26
1627,26
1628,26
1629,25
1630,26
1631,27
1632,25
1633,25
1634,25
1635,25
1636,26
1637,27
1638,26
1639,27
1640,26
1641,26
1642,28
1643,28
1644,24
1645,22
1646,24
1647,26
1648,24
1649,21
1650,21
1651,22
1652,21
1653,22
1654,22
1655,22
1656,23
1657,25
1658,27
1659,22
1660,18
1661,15
1662,19
1663,24
1664,26
1665,23
1666,23
1667,22
1668,20
1669,23
1670,23
1671,24
1672,24
1673,24
1674,24
1675,22
1676,24
1677,25
1678,24
1679,23
1680,17
1681,17
1682,25
1683,25
1684,24
1685,23
1686,24
1687,26
1688,24
1689,25
1690,25
1691,26
1692,25
1693,26
1694,25
1695,23
1696,24
1697,23
1698,23
1699,21
1700,18
1701,16
1702,15
1703,14
1704,15
1705,18
1706,19
1707,19
1708,20
1709,16
1710,14
1711,14
1712,15
1713,14
1714,10
1715,11
1716,12
1717,11
1718,14
1719,13
1720,12
1721,10
1722,14
1723,14
1724,13
1725,15
1726,18
1727,19
1728,21
1729,17
1730,10
1731,10
1732,14
1733,20
1734,17
1735,12
1736,10
1737,11
1738,14
1739,18
1740,17
1741,13
1742,10
1743,10
1744,11
1745,11
1746,13
1747,12
1748,10
1749,12
1750,17
1751,16
1752,12
1753,12
1754,12
1755,11
1756,13
1757,16
1758,15
1759,17
1760,13
1761,10
1762,11
1763,15
1764,15
1765,13
1766,11
1767,11
1768,13
1769,11
1770,12
1771,12
1772,11
1773,13
1774,20
1775,17
1776,12
1777,13
1778,19
1779,16
1780,12
1781,12
1782,9
1783,12
1784,15
1785,14
1786,16
1787,16
1788,13
1789,16
1790,18
1791,14
1792,12
1793,16
1794,21
1795,23
1796,22
1797,21
1798,20
1799,20
1800,19
1801,19
1802,23
1803,22
1804,23
1805,23
1806,22
1807,20
1808,19
1809,16
1810,18
1811,21
1812,21
1813,25
1814,26
1815,22
1816,14
1817,16
1818,23
1819,24
1820,24
1821,23
1822,23
1823,25
1824,23
1825,22
1826,23
1827,24
1828,22
1829,23
1830,24
1831,17
1832,11
1833,11
1834,12
1835,19
1836,18
1837,13
1838,14
1839,11
1840,16
1841,12
1842,8
1843,14
1844,16
1845,13
1846,10
1847,10
1848,8
1849,12
1850,18
1851,20
1852,20
1853,20
1854,22
1855,23
1856,19
1857,14
1858,10
1859,15
1860,21
1861,20
1862,21
1863,17
1864,15
1865,16
1866,14
1867,11
1868,11
1869,10
1870,9
1871,14
1872,23
1873,25
1874,24
1875,24
1876,24
1877,24
1878,24
1879,24
1880,25
1881,26
1882,24
1883,15
1884,13
1885,21
1886,21
1887,15
1888,20
1889,23
1890,22
1891,20
1892,23
1893,22
1894,23
1895,23
1896,19
1897,20
1898,22
1899,21
1900,24
1901,23
1902,20
1903,19
1904,24
1905,24
1906,18
1907,22
1908,17
1909,14
1910,19
1911,24
1912,22
1913,17
1914,18
1915,20
1916,22
1917,22
1918,12
1919,11
1920,18
1921,24
1922,24
1923,22
1924,21
1925,22
1926,21
1927,21
1928,23
1929,23
1930,24
1931,26
1932,24
1933,22
1934,23
1935,21
1936,18
1937,16
1938,19
1939,24
1940,24
1941,24
1942,24
1943,22
1944,23
1945,22
1946,22
1947,26
1948,24
1949,25
1950,25
1951,26
1952,24
1953,26
1954,26
1955,26
1956,24
1957,25
1958,25
1959,20
1960,18
1961,22
1962,19
1963,16
1964,16
1965,17
1966,16
1967,15
1968,15
1969,21
1970,19
1971,15
1972,14
1973,14
1974,13
1975,12
1976,11
1977,10
1978,11
1979,10
1980,9
1981,10
1982,11
1983,10
1984,10
1985,11
1986,11
1987,11
1988,13
1989,11
1990,11
1991,10
1992,12
1993,11
1994,11
1995,10
1996,11
1997,11
1998,11
1999,11
2000,11
2001,10
2002,12
2003,13
2004,10
2005,10
2006,10
2007,12
2008,12
2009,16
2010,17
2011,18
2012,19
2013,18
2014,15
2015,14
2016,17
2017,20
2018,18
2019,19
2020,19
2021,19
2022,20
2023,18
2024,16
2025,19
2026,18
2027,18
2028,15
2029,14
2030,12
2031,13
2032,14
2033,11
2034,12
2035,10
2036,12
2037,12
2038,11
2039,11
2040,11
2041,13
2042,12
2043,10
2044,12
2045,13
2046,12
2047,14
2048,13
2049,11
2050,13
2051,12
2052,13
2053,12
2054,11
2055,13
2056,10
2057,13
2058,12
2059,15
2060,13
2061,12
2062,13
2063,12
2064,16
2065,22
2066,27
2067,22
2068,21
2069,27
2070,27
2071,26
2072,27
2073,27
2074,27
2075,28
2076,27
2077,28
2078,28
2079,26
2080,27
2081,21
2082,16
2083,15
2084,13
2085,15
2086,14
2087,18
2088,20
2089,24
2090,23
2091,24
2092,23
2093,25
2094,21
2095,14
2096,14
2097,16
2098,17
2099,15
2100,18
2101,19
2102,16
2103,15
2104,12
2105,11
2106,10
2107,12
2108,13
2109,14
2110,13
2111,11
2112,11
2113,9
2114,9
2115,11
2116,10
2117,10
2118,11
2119,11
2120,10
2121,11
2122,10
2123,10
2124,9
2125,10
2126,10
2127,10
2128,13
2129,11
2130,12
2131,12
2132,12
2133,12
2134,12
2135,13
2136,11
2137,11
2138,12
2139,13
2140,13
2141,12
2142,12
2143,11
2144,11
2145,12
2146,12
2147,12
2148,12
2149,12
2150,12
2151,12
2152,11
2153,12
2154,12
2155,15
2156,19
2157,20
2158,18
2159,18
2160,22
2161,20
2162,19
2163,19
2164,19
2165,18
2166,17
2167,20
2168,20
2169,18
2170,16
2171,19
2172,20
2173,20
2174,20
2175,17
2176,15
2177,16
2178,16
2179,17
2180,18
2181,16
2182,15
2183,17
2184,18
2185,18
2186,18
2187,17
2188,18
2189,18
2190,18
2191,19
2192,19
2193,20
2194,19
2195,20
2196,18
2197,17
2198,20
2199,19
2200,18
2201,19
2202,19
2203,18
2204,18
2205,20
2206,17
2207,16
2208,19
2209,18
2210,18
2211,19
2212,18
2213,16
2214,18
2215,18
2216,17
2217,18
2218,18
2219,19
2220,20
2221,21
2222,21
2223,19
2224,17
2225,17
2226,17
2227,18
2228,17
2229,18
2230,19
2231,19
2232,16
2233,17
2234,18
2235,17
2236,16
2237,17
2238,17
2239,15
2240,14
2241,15
2242,12
2243,15
2244,16
2245,15
2246,15
2247,13
2248,12
2249,12
2250,12
2251,12
2252,12
2253,14
2254,16
2255,15
2256,15
2257,13
2258,14
2259,14
2260,13
2261,13
2262,15
2263,15
2264,15
2265,14
2266,12
2267,13
2268,12
2269,11
2270,11
2271,12
2272,12
2273,16
2274,15
2275,13
2276,13
2277,12
2278,12
2279,11
2280,12
2281,13
2282,14
2283,13
2284,12
2285,12
2286,12
2287,11
2288,12
2289,10
2290,11
2291,13
2292,13
2293,10
2294,11
2295,12
2296,11
2297,11
2298,10
2299,10
2300,10
2301,10
2302,9
2303,11
2304,13
2305,12
2306,10
2307,9
2308,10
2309,10
2310,10
2311,9
2312,10
2313,10
2314,9
2315,10
2316,9
2317,9
2318,9
2319,8
2320,9
2321,8
2322,10
2323,13
2324,11
2325,9
2326,9
2327,10
2328,10
2329,8
2330,9
2331,9
2332,10
2333,9
2334,9
2335,10
2336,8
2337,8
2338,8
2339,9
2340,9
2341,8
2342,9
2343,8
2344,9
2345,8
2346,9
2347,8
2348,7
2349,7
2350,8
2351,8
2352,7
2353,7
2354,7
2355,7
2356,9
2357,9
2358,9
2359,10
2360,10
2361,9
2362,8
2363,10
2364,8
2365,8
2366,7
2367,8
2368,8
2369,9
2370,9
2371,8
2372,9
2373,8
2374,8
2375,10
2376,9
2377,8
2378,8
2379,10
2380,10
2381,9
2382,9
2383,9
2384,7
2385,9
2386,8
2387,9
2388,10
2389,8
2390,8
2391,8
2392,9
2393,7
2394,8
2395,8
2396,8
2397,8
2398,7
2399,8
2400,8
2401,8
2402,8
2403,8
2404,8
2405,8
2406,8
2407,8
2408,9
2409,10
2410,10
2411,8
2412,7
2413,8
2414,9
2415,10
2416,9
2417,10
2418,10
2419,8
2420,8
2421,9
2422,8
2423,8
2424,10
2425,11
2426,10
2427,9
2428,9
2429,9
2430,11
2431,9
2432,8
2433,9
2434,9
2435,8
2436,9
2437,9
2438,8
2439,8
2440,8
2441,6
2442,7
2443,5
2444,7
2445,8
2446,7
2447,8
2448,9
2449,11
2450,11
2451,11
2452,11
2453,10
2454,10
2455,10
2456,9
2457,8
2458,6
2459,6
2460,6
2461,7
2462,7
2463,7
2464,7
2465,7
2466,10
2467,6
2468,6
2469,7
2470,7
2471,7
2472,7
2473,8
2474,8
2475,8
2476,6
2477,8
2478,7
2479,5
2480,8
2481,8
2482,8
2483,8
2484,6
2485,7
2486,7
2487,7
2488,6
2489,8
2490,6
2491,8
2492,8
2493,6
2494,8
2495,7
2496,9
2497,9
2498,9
2499,9
2500,6
2501,7
2502,7
2503,8
2504,8
2505,8
2506,9
2507,9
2508,10
2509,9
2510,9
2511,9
2512,8
2513,9
2514,9
2515,8
2516,8
2517,8
2518,6
2519,5
2520,8
2521,9
2522,9
2523,8
2524,11
2525,12
2526,11
2527,7
2528,6
2529,9
2530,10
2531,9
2532,8
2533,9
2534,8
2535,8
2536,6
2537,7
2538,5
2539,6
2540,6
2541,6
2542,5
2543,6
2544,6
2545,6
2546,7
2547,7
2548,6
2549,7
2550,8
2551,6
2552,7
2553,8
2554,6
2555,8
2556,7
2557,5
2558,8
2559,8
2560,8
2561,6
2562,7
2563,9
2564,9
2565,8
2566,8
2567,8
2568,8
2569,6
2570,6
2571,8
2572,7
2573,8
2574,8
2575,7
2576,7
2577,8
2578,9
2579,8
2580,8
2581,7
2582,8
2583,10
2584,9
2585,8
2586,10
2587,9
2588,9
2589,9
2590,9
2591,8
2592,9
2593,8
2594,8
2595,7
2596,7
2597,7
2598,9
2599,8
2600,5
2601,10
2602,8
2603,7
2604,8
2605,8
2606,8
2607,9
2608,8
2609,6
2610,5
2611,7
2612,8
2613,8
2614,8
2615,8
2616,8
2617,8
2618,7
2619,7
2620,6
2621,7
2622,7
2623,7
2624,7
2625,8
2626,8
2627,7
2628,7
2629,7
2630,7
2631,8
2632,9
2633,9
2634,8
2635,8
2636,9
2637,8
2638,8
2639,10
2640,9
2641,8
2642,8
2643,7
2644,8
2645,8
2646,9
2647,9
2648,7
2649,7
2650,8
2651,8
2652,7
2653,8
2654,7
2655,7
2656,8
2657,8
2658,7
2659,6
2660,6
2661,7
2662,7
2663,8
2664,9
2665,9
2666,9
2667,7
2668,8
2669,8
2670,7
2671,9
2672,9
2673,8
2674,8
2675,8
2676,7
2677,5
2678,7
2679,7
2680,6
2681,8
2682,9
2683,8
2684,6
2685,6
2686,8
2687,8
2688,9
2689,9
2690,6
2691,7
2692,8
2693,8
2694,6
2695,7
2696,7
2697,8
2698,10
2699,9
2700,7
2701,7
2702,7
2703,8
2704,8
2705,7
2706,8
2707,6
2708,7
2709,7
2710,6
2711,6
2712,7
2713,9
2714,11
2715,11
2716,8
2717,7
2718,7
2719,6
2720,7
2721,6
2722,7
2723,7
2724,6
2725,7
2726,10
2727,10
2728,8
2729,6
2730,8
2731,7
2732,8
2733,7
2734,8
2735,6
2736,6
2737,7
2738,7
2739,6
2740,6
2741,7
2742,7
2743,10
2744,7
2745,7
2746,8
2747,8
2748,7
2749,5
2750,6
2751,8
2752,7
2753,8
2754,8
2755,9
2756,10
2757,11
2758,11
2759,10
2760,8
2761,8
2762,9
2763,9
2764,11
2765,11
2766,10
2767,9
2768,9
2769,8
2770,8
2771,9
2772,9
2773,9
2774,8
2775,7
2776,9
2777,10
2778,10
2779,10
2780,8
2781,9
2782,9
2783,8
2784,7
2785,9
2786,8
2787,10
2788,10
2789,11
2790,11
2791,9
2792,10
2793,10
2794,10
2795,9
2796,7
2797,9
2798,10
2799,9
2800,7
2801,8
2802,8
2803,7
2804,8
2805,8
2806,9
2807,8
2808,7
2809,8
2810,8
2811,9
2812,9
2813,7
2814,7
2815,5
2816,8
2817,7
2818,6
2819,6
2820,7
2821,6
2822,7
2823,5
2824,6
2825,5
2826,6
2827,5
2828,5
2829,6
2830,6
2831,6
2832,6
2833,7
2834,8
2835,7
2836,6
2837,7
2838,6
2839,4
2840,7
2841,6
2842,7
2843,9
2844,8
2845,6
2846,5
2847,6
2848,7
2849,7
2850,7
2851,7
2852,8
2853,6
2854,8
2855,7
2856,7
2857,7
2858,5
2859,7
2860,6
2861,7
2862,7
2863,6
2864,7
2865,8
2866,8
2867,6
2868,7
2869,7
2870,8
2871,6
2872,6
2873,8
2874,8
2875,8
2876,8
2877,7
2878,6
2879,7
2880,7
2881,7
2882,8
2883,8
2884,8
2885,7
2886,6
2887,6
2888,7
2889,5
2890,5
2891,7
2892,7
2893,8
2894,9
2895,8
2896,7
2897,8
2898,8
2899,6
2900,6
2901,7
2902,7
2903,8
2904,7
2905,6
2906,5
2907,6
2908,8
2909,10
2910,9
2911,9
2912,8
2913,9
2914,9
2915,10
2916,11
2917,12
2918,11
2919,10
2920,8
2921,8
2922,8
2923,10
2924,10
2925,10
2926,10
2927,10
2928,10
2929,10
2930,10
2931,10
2932,10
2933,8
2934,9
2935,10
2936,9
2937,8
2938,6
2939,7
2940,10
2941,8
2942,8
2943,10
2944,10
2945,11
2946,9
2947,9
2948,10
2949,10
2950,10
2951,9
2952,8
2953,7
2954,7
2955,9
2956,8
2957,9
2958,9
2959,11
2960,11
2961,9
2962,8
2963,10
2964,8
2965,8
2966,9
2967,8
2968,9
2969,9
2970,7
2971,8
2972,9
2973,9
2974,8
2975,10
2976,9
2977,8
2978,10
2979,11
2980,11
2981,10
2982,8
2983,8
2984,7
2985,6
2986,6
2987,7
2988,9
2989,7
2990,5
2991,6
2992,8
2993,7
2994,6
2995,6
2996,6
2997,7
